X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle
25893,13,SB0832,cattle,cattle,64420035_30,64420039_2,64420035,64420039,pasture,64,67,68,abattage,562,135,cattle->cattle,2012,4,b2016,235,235
25894,13,SB0832,cattle,cattle,64420035_31,64420035_12,64420035,64420035,within,65,-1,68,abattage,573,135,cattle->cattle,2012,3,b2016,235,235
25895,13,SB0832,cattle,cattle,64420035_32,64420035_25,64420035,64420035,within,65,-1,68,abattage,574,135,cattle->cattle,2012,3,b2016,235,235
25896,13,SB0832,cattle,cattle,64420035_34,64420035_9,64420035,64420035,within,65,-1,68,abattage,575,135,cattle->cattle,2012,3,b2016,235,235
25897,13,SB0832,cattle,cattle,64420038_25,64420038_0,64420038,64420038,within,65,-1,65,abattage,576,135,cattle->cattle,2012,0,b2016,235,235
25898,13,SB0832,cattle,cattle,64420038_26,64420038_7,64420038,64420038,within,65,-1,65,abattage,577,135,cattle->cattle,2012,0,b2016,235,235
25899,13,SB0832,cattle,cattle,64420035_33,64420039_6,64420035,64420039,pasture,65,-1,68,abattage,578,135,cattle->cattle,2012,3,b2016,235,235
25900,13,SB0832,cattle,cattle,64281001_9,64281001_5,64281001,64281001,within,66,-1,67,abattage,584,135,cattle->cattle,2012,1,b2016,235,235
25901,13,SB0832,cattle,cattle,64420035_37,64420035_0,64420035,64420035,within,66,-1,68,abattage,597,135,cattle->cattle,2012,2,b2016,235,235
25902,13,SB0832,cattle,cattle,64420047_21,64420035_2,64420047,64420035,pasture,66,72,72,abattage,598,135,cattle->cattle,2012,6,b2016,235,235
25903,13,SB0832,cattle,cattle,64420035_36,64420035_22,64420035,64420035,within,66,-1,68,abattage,599,135,cattle->cattle,2012,2,b2016,235,235
25904,13,SB0832,cattle,cattle,64420047_20,64420038_1,64420047,64420038,pasture,66,67,74,abattage,600,135,cattle->cattle,2012,8,b2016,235,235
25905,13,SB0832,cattle,cattle,64521015_0,64420038_1,64521015,64420038,pasture,66,70,97,demographie,601,135,cattle->cattle,2012,31,b2016,235,235
25906,13,SB0832,cattle,cattle,64420035_35,64420039_2,64420035,64420039,pasture,66,-1,68,abattage,602,135,cattle->cattle,2012,2,b2016,235,235
25907,13,SB0832,cattle,cattle,64420039_14,64420039_2,64420039,64420039,within,66,-1,66,abattage,603,135,cattle->cattle,2012,0,b2016,235,235
25908,13,SB0832,cattle,cattle,64420039_13,64420039_8,64420039,64420039,within,66,-1,66,abattage,604,135,cattle->cattle,2012,0,b2016,235,235
25909,13,SB0832,cattle,cattle,64420035_40,64420035_10,64420035,64420035,within,67,-1,68,abattage,615,135,cattle->cattle,2012,1,b2016,235,235
25910,13,SB0832,cattle,cattle,64420035_39,64420035_28,64420035,64420035,within,67,-1,68,abattage,616,135,cattle->cattle,2012,1,b2016,235,235
